wn95b Shoulder Shoulder Hip Hip Tib.Epic. Tib.Epic. Knee Knee Ankle Ankle Heel Heel Ball Ball Toes Toes
Time "Mark01 X" "Mark01 Y" "Mark02 X" "Mark02 Y" "Mark03 X" "Mark03 Y" "Mark04 X" "Mark04 Y" "Mark05 X" "Mark05 Y" "Mark06 X" "Mark06 Y" "Mark07 X" "Mark07 Y" "Mark08 X" "Mark08 Y"
s cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm
0.715 1.461365 1.069136 1.439937 0.8234425 1.410201 0.5094078 1.378552 0.4254899 1.307459 0.1012504 1.247664 5.04E-02 1.400616 3.44E-02 1.471361 4.03E-02
0.7293 1.481423 1.066917 1.456432 0.8210302 1.418806 0.5083039 1.384959 0.4253124 1.308992 0.1019839 1.249404 5.15E-02 1.401399 3.42E-02 1.471922 3.97E-02
0.7436 1.501531 1.064373 1.473134 0.8185175 1.42757 0.507486 1.391706 0.4253002 1.310426 0.1029885 1.250994 0.0533373 1.402283 3.38E-02 1.472366 3.93E-02
0.7579 1.521728 1.061591 1.490014 0.8159577 1.436641 0.506925 1.398855 0.4254223 1.311725 0.1043754 1.252364 5.59E-02 1.403131 3.34E-02 1.472627 3.90E-02
0.7722 1.542094 1.05866 1.507184 0.8133952 1.446363 0.5065495 1.406594 0.425615 1.312968 0.1062554 1.253602 5.91E-02 1.40385 3.35E-02 1.472693 3.88E-02
0.7865 1.562662 1.055677 1.524737 0.8108571 1.457084 0.5062514 1.415178 0.4258065 1.314284 0.1087463 1.25481 6.31E-02 1.404355 3.43E-02 1.472561 3.88E-02
0.8008 1.583369 1.052733 1.542672 0.8083534 1.469003 0.5058953 1.424856 0.4259276 1.315756 0.1119429 1.255993 6.78E-02 1.404515 3.55E-02 1.472169 0.0390212
0.8151 1.604133 1.049917 1.561017 0.8058873 1.482228 0.5053426 1.435886 0.4259003 1.317465 0.1158678 1.257181 7.32E-02 1.404237 3.67E-02 1.471453 3.93E-02
0.8294 1.624987 1.047308 1.579955 0.8034645 1.496936 0.5044742 1.448621 0.4256385 1.319649 0.120503 1.258602 7.94E-02 1.403596 3.77E-02 1.470487 0.0394724
0.8437 1.646109 1.044978 1.59981 0.8010889 1.513432 0.5031896 1.463487 0.4250648 1.322756 0.1258694 1.260689 8.69E-02 1.402839 3.83E-02 1.469488 3.95E-02
0.858 1.667759 1.042988 1.620911 0.7987617 1.532083 0.5013952 1.480868 0.4241181 1.327339 0.1320375 1.263994 9.59E-02 1.402325 3.86E-02 1.468728 0.0390834
0.8723 1.690178 1.041389 1.643515 0.7964928 1.553263 0.4990172 1.50103 0.4227611 1.333949 0.1390719 1.269144 0.1066937 1.402448 3.91E-02 1.468439 3.82E-02
0.8866 1.713497 1.040223 1.66777 0.7943137 1.577327 0.4960465 1.524125 0.4209925 1.343088 0.1470025 1.276819 0.1193718 1.403548 4.02E-02 1.468762 0.0368793
0.9009 1.737646 1.039525 1.693619 0.7922772 1.604468 0.4925742 1.550205 0.4188579 1.355142 0.1558285 1.287683 0.1340767 1.405846 4.27E-02 1.469745 0.0353499
