Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.16	116.17671	775.49194	-100.39584	279.72272	440.61865	-51.31091	288.39273	441.90701	-174.97389	267.42746	402.63782	-44.47556	323.13644	387.15894	-99.99973	296.99951	62.12803	-77.01261	314.53577	75.0812	-157.94968	244.83005	41.7633	-125.15974	433.95914	42.88729	-123.02689	397.94238	29.64528	-62.22075	-157.56	647.66	-50.39	304.92	0	-108.84	-1302.36
0.167	125.07653	777.15405	-98.90047	286.53125	440.85248	-50.90737	294.69321	442.22855	-174.52759	273.99872	403.06256	-44.11222	329.00021	386.80527	-99.97106	297.46509	62.15882	-77.23643	314.79803	74.82745	-158.29716	244.93805	41.94374	-125.194	434.08533	41.91169	-123.75358	398.05231	29.63103	-62.1433	-155.65	672.06	-53.87	306.51	0	-108.82	-1523.39
0.173	133.83923	778.76508	-97.49715	292.81995	440.91833	-50.54136	300.12506	442.215	-174.22473	280.0022	403.34521	-43.7907	334.37952	386.35013	-100.00817	297.85516	62.19954	-77.44479	314.98169	74.61331	-158.60777	245.00543	42.07978	-125.21647	434.12396	41.1618	-124.4371	398.12314	29.71042	-62.09477	-149.56	687.91	-54.3	308.03	0	-108.37	-1971.42
0.18	142.48122	780.30048	-96.21038	298.61029	440.84448	-50.21725	304.77008	441.93185	-174.04596	285.45056	403.49677	-43.50977	339.28894	385.81036	-100.08615	298.17963	62.24398	-77.63614	315.11426	74.43108	-158.87938	245.0426	42.1834	-125.23232	434.10068	40.59424	-125.06161	398.16571	29.8429	-62.06778	-142.06	707.5	-58.03	309.85	0	-108.62	-2444.11
0.187	151.0191	781.74622	-95.0624	303.93356	440.66418	-49.93886	308.74625	441.46228	-173.96521	290.37375	403.53558	-43.26871	343.75372	385.20743	-100.18406	298.44629	62.28918	-77.81059	315.21808	74.27506	-159.11292	245.05969	42.26488	-125.24777	434.03711	40.17037	-125.61774	398.18854	29.99806	-62.05537	-135.88	719.69	-62.7	311.28	0	-107.85	-2526.53
0.193	159.46806	783.09894	-94.07213	308.82379	440.41141	-49.70623	312.19312	440.89453	-173.95351	294.81149	403.4856	-43.06597	347.80673	384.56561	-100.28223	298.66098	62.33396	-77.96854	315.31033	74.1416	-159.31071	245.06625	42.33253	-125.26878	433.95062	39.857	-126.10103	398.198	30.15427	-62.05087	-129.5	729.28	-64.85	312.72	0	-107.68	-2706.23
0.2	167.84073	784.36499	-93.25376	313.3136	440.11801	-49.51386	315.25906	440.30984	-173.9819	298.80634	403.37393	-42.89776	351.48553	383.90973	-100.35888	298.82904	62.37755	-78.11001	315.40326	74.02898	-159.47522	245.06992	42.39307	-125.29971	433.85452	39.62685	-126.50906	398.19836	30.29699	-62.04724	-123.39	734.44	-63.62	314.2	0	-107.64	-2834.92
0.207	176.14684	785.55896	-92.61602	317.43228	439.81198	-49.35067	318.09085	439.77274	-174.0229	302.39893	403.22812	-42.75739	354.83029	383.26212	-100.38821	298.95648	62.41919	-78.23434	315.5047	73.93732	-159.60806	245.07547	42.4523	-125.34258	433.75861	39.45849	-126.84042	398.19235	30.41718	-62.0374	-116.91	737.38	-61.17	315.84	0	-107.34	-3017.84
0.213	184.39223	786.70111	-92.1607	321.2048	439.51569	-49.2015	320.82352	439.32465	-174.05125	305.62595	403.0723	-42.63557	357.88193	382.64035	-100.34138	299.04947	62.45845	-78.34019	315.61832	73.86815	-159.70987	245.08466	42.51526	-125.39688	433.66937	39.3359	-127.09518	398.18134	30.51001	-62.01502	-109.85	734.75	-59.29	317.98	0	-107.06	-3052.99
0.22	192.57912	787.81403	-91.88306	324.65225	439.24384	-49.04966	323.57071	438.98187	-174.04521	308.5206	402.92484	-42.52177	360.68039	382.0556	-100.1912	299.11395	62.49534	-78.42574	315.74469	73.82358	-159.78058	245.09744	42.58588	-125.45992	433.59088	39.24778	-127.27533	398.16602	30.57377	-61.97523	-103.36	728.53	-57.52	320.78	0	-106.98	-2912.26
