Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.16	137.76842	806.72205	-395.91898	291.33221	472.20581	-206.18602	71.71545	457.68582	-374.03714	299.46771	406.47699	-208.97331	352.64618	416.49152	-254.69926	320.77536	61.07696	-250.62544	352.55649	81.02069	-328.23328	276.48123	37.2451	-297.36044	485.2695	38.06078	-279.20996	442.65225	30.46634	-213.09586	-118.58	554.91	-28.03	344.12	0	-280.67	2028.34
0.167	146.43933	807.85797	-393.92593	296.33691	472.73254	-204.793	87.32454	455.7504	-373.89706	303.7251	406.81216	-207.72551	357.09851	416.34222	-253.1754	320.87415	61.17522	-250.62175	352.78833	81.06477	-328.14487	276.46896	37.35286	-297.33649	485.31107	37.70742	-279.21466	442.68484	30.28664	-212.66351	-117.39	580.41	-32.44	345.71	0	-280.24	2127.32
0.173	154.93483	809.05029	-392.01312	300.78448	473.15829	-203.4444	103.38829	453.7648	-373.65479	307.4931	407.06683	-206.52286	361.08398	416.11545	-251.71118	320.90588	61.24925	-250.59314	352.92203	81.12704	-328.0343	276.41422	37.41463	-297.29349	485.29236	37.51536	-279.22061	442.67218	30.17857	-212.29706	-112.62	604.03	-33.67	346.16	0	-280.42	2187.97
0.18	163.25488	810.27637	-390.19632	304.73294	473.49814	-202.15964	119.80028	451.80356	-373.27423	310.8244	407.25473	-205.38031	364.64386	415.82419	-250.3396	320.8866	61.30197	-250.54222	352.97894	81.19928	-327.90866	276.3273	37.44269	-297.2348	485.23068	37.43761	-279.22711	442.62653	30.1179	-211.99152	-106.55	630.91	-33.02	346.29	0	-279.64	2055.91
0.187	171.40413	811.51709	-388.48944	308.25488	473.76868	-200.95474	136.44981	449.94955	-372.72916	313.77881	407.39044	-204.31119	367.82629	415.48499	-249.08594	320.82938	61.33819	-250.47122	352.97894	81.27662	-327.77411	276.2178	37.44826	-297.16336	485.14075	37.43558	-279.2338	442.55872	30.08601	-211.74001	-98.96	650.88	-34.63	346.75	0	-279.54	2041.47
0.193	179.39151	812.75757	-386.90433	311.43008	473.98611	-199.84195	153.2296	448.28873	-372.004	316.41852	407.48859	-203.32704	370.68323	415.11621	-247.96706	320.74622	61.3637	-250.38283	352.93973	81.35652	-327.63623	276.09442	37.44112	-297.08179	485.03513	37.47851	-279.24213	442.47855	30.06965	-211.53574	-91.17	673.81	-37.3	346.65	0	-279.06	2189.72
0.2	187.229	813.98724	-385.44992	314.33734	474.16516	-198.83028	170.04256	446.90387	-371.09338	318.8035	407.56256	-202.43758	373.26669	414.7359	-246.99138	320.64862	61.38362	-250.28177	352.87622	81.4377	-327.50015	275.9649	37.42943	-296.99277	484.92426	37.54282	-279.25485	442.39453	30.0602	-211.37262	-84.03	688.97	-40.42	347.25	0	-279.11	2242.46
0.207	194.9312	815.20074	-384.1319	317.04761	474.31796	-197.92632	186.80806	445.86765	-370.0015	320.98807	407.62338	-201.65028	375.62653	414.35925	-246.15984	320.54749	61.40161	-250.17499	352.80066	81.51932	-327.3707	275.83594	37.41959	-296.89908	484.81659	37.61121	-279.27481	442.31329	30.05241	-211.24498	-77.55	702.63	-42.01	347.66	0	-278.67	2309.55
0.213	202.51381	816.39703	-382.95258	319.61993	474.45355	-197.13423	203.46626	445.23572	-368.7421	323.01886	407.67905	-200.97026	377.80841	413.99683	-245.46751	320.45184	61.4202	-250.0701	352.72308	81.60033	-327.25226	275.7135	37.41638	-296.80383	484.71875	37.67165	-279.30399	442.23935	30.04348	-211.14748	-71.61	710.41	-42.68	348.41	0	-278.53	2160.53
0.22	209.99287	817.57916	-381.91098	322.09998	474.57776	-196.45563	219.98045	445.04114	-367.33737	324.93481	407.73425	-200.39999	379.853	413.65393	-244.90564	320.36841	61.44152	-249.97395	352.65137	81.67905	-327.14902	275.60248	37.42313	-296.71045	484.63586	37.71611	-279.34406	442.17569	30.03251	-211.07549	-67.1	715.22	-43.32	349.16	0	-277.77	1954.69
