t(s),m1_X (m),m1_Y (m),m1_Z(m),m2_X (m),m2_Y (m),m2_Z(m),m3_X (m),m3_Y (m),m3_Z(m)
2.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.521788265950798358e-01,8.786048649963069945e-02,-4.681048383088908249e-01,2.332569629170611614e-01,1.346709703305197792e-01,-4.329606437090385285e-01
2.700000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.523618406627567923e-01,8.796614972086948259e-02,-4.680254544500141445e-01,2.334262272970505925e-01,1.347686951658708943e-01,-4.328389945616663570e-01
2.800000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.524076058613184903e-01,8.799257227057859232e-02,-4.680055863991668397e-01,2.334685512482607972e-01,1.347931309104952735e-01,-4.328085574909353861e-01
2.900000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.523263569062516809e-01,8.794566316449939358e-02,-4.680408543302877478e-01,2.333934108780519046e-01,1.347497485975281684e-01,-4.328625890644879903e-01
2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.521320577115073125e-01,8.783348447211040966e-02,-4.681251072330452900e-01,2.332137047141336628e-01,1.346459951954149248e-01,-4.329917134442011206e-01
3.099999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.518419072151324101e-01,8.766596600492285174e-02,-4.682506952666433131e-01,2.329453067032601910e-01,1.344910355315871719e-01,-4.331843088646741835e-01
3.200000000000000067e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.514757331055218981e-01,8.745455528416895552e-02,-4.684087990635881771e-01,2.326065169745674954e-01,1.342954351905277788e-01,-4.334269769499206060e-01
3.300000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.510552925098724852e-01,8.721181379309252135e-02,-4.685897973064243049e-01,2.322174261941853668e-01,1.340707935237349657e-01,-4.337050717891872686e-01
3.400000000000000244e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.506035022638401166e-01,8.695097257292848381e-02,-4.687836531647486260e-01,2.317992127677492575e-01,1.338293378894033492e-01,-4.340032641355772158e-01
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.501436244406568477e-01,8.668546198791927948e-02,-4.689803009932975719e-01,2.313733953475904936e-01,1.335834920872490394e-01,-4.343061161981298657e-01
3.600000000000000422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.496984351712446204e-01,8.642843184338380724e-02,-4.691700168130676918e-01,2.309610658220623836e-01,1.333454335246905820e-01,-4.345986440757141356e-01
3.699999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.492894062269075339e-01,8.619227887226443841e-02,-4.693437591480504323e-01,2.305821299328868756e-01,1.331266547870694761e-01,-4.348668475991446236e-01
3.800000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489359291848607048e-01,8.598819880688635120e-02,-4.694934703100667739e-01,2.302545836247473221e-01,1.329375458378930230e-01,-4.350981907873122112e-01
3.900000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.486546111308787721e-01,8.582577975269198300e-02,-4.696123317369014782e-01,2.299938529737991511e-01,1.327870129263821197e-01,-4.352820198358247072e-01
4.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.484586687229724478e-01,8.571265235074160271e-02,-4.696949700688773932e-01,2.298122239448563420e-01,1.326821493576293420e-01,-4.354099091285807410e-01
4.100000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.483574440786194215e-01,8.565421027507574836e-02,-4.697376129804940459e-01,2.297183852694535677e-01,1.326279715731251418e-01,-4.354759288704637132e-01
4.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.483560614722228832e-01,8.565341202690052169e-02,-4.697381952030301178e-01,2.297171035069584255e-01,1.326272315472035168e-01,-4.354768303922699202e-01
4.299999999999999933e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.484552384307819273e-01,8.571067187062200721e-02,-4.696964156877783125e-01,2.298090440412042801e-01,1.326803134393998440e-01,-4.354121469395295096e-01
4.400000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.486512587469148439e-01,8.582384425290798258e-02,-4.696137466371809177e-01,2.299907456577524045e-01,1.327852189166260632e-01,-4.352842089360177136e-01
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.489361084853934869e-01,8.598830232609722124e-02,-4.694933944714268503e-01,2.302547497896423323e-01,1.329376417732399118e-01,-4.350980735409879507e-01
4.600000000000000200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.492977695620383849e-01,8.619710744605356412e-02,-4.693402120762016905e-01,2.305898788971517122e-01,1.331311286536737137e-01,-4.348613690977802815e-01
4.700000000000000289e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.497206592455550267e-01,8.644126291866940925e-02,-4.691605612795068381e-01,2.309816521499187814e-01,1.333573190466200986e-01,-4.345840561120390966e-01
4.800000000000000377e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.501861982802151496e-01,8.671004200564870479e-02,-4.689621247622397515e-01,2.314128209715805573e-01,1.336062544818726883e-01,-4.342781079599802863e-01
4.900000000000000466e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.506734855199801659e-01,8.699137742469970069e-02,-4.687536677349989356e-01,2.318640023951079876e-01,1.338667441981996054e-01,-4.339571167651190553e-01
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.511600532171302469e-01,8.727229741562828047e-02,-4.685447517742488688e-01,2.323143847864049538e-01,1.341267725930531673e-01,-4.336358328079975566e-01
5.100000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.516226745640537887e-01,8.753939197480745116e-02,-4.683454060954628795e-01,2.327424784489358356e-01,1.343739325843537336e-01,-4.333296493055399101e-01
5.200000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.520381938073980532e-01,8.777929212180574092e-02,-4.681657649790069153e-01,2.331268829381970831e-01,1.345958686197064325e-01,-4.330540481302845857e-01
5.300000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.523843492166239710e-01,8.797914504050377560e-02,-4.680156836600328774e-01,2.334470435004499800e-01,1.347807134065070467e-01,-4.328240256438313782e-01
5.400000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526405602932556504e-01,8.812706857456643894e-02,-4.679043482783790675e-01,2.336839707233112351e-01,1.349175034024043263e-01,-4.326535208485524642e-01
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.527886526895161912e-01,8.821256975941239864e-02,-4.678398979840894256e-01,2.338209000011445271e-01,1.349965595578213329e-01,-4.325548700803244495e-01
5.600000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.528134971637746531e-01,8.822691372331338544e-02,-4.678290785954161146e-01,2.338438705023140884e-01,1.350098215828549886e-01,-4.325383131060907549e-01
5.700000000000000622e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.527035423232276368e-01,8.816343126652487205e-02,-4.678769470162544297e-01,2.337422067154640848e-01,1.349511259681503150e-01,-4.326115745096444920e-01
5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.524512246971397589e-01,8.801775561718173935e-02,-4.679866438099022363e-01,2.335088891313787385e-01,1.348164199981719547e-01,-4.327795415630295572e-01
5.900000000000000799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.520532436922524822e-01,8.778798117687772185e-02,-4.681592479526092143e-01,2.331408040409679860e-01,1.346039059721386433e-01,-4.330440554818580923e-01
5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.515106931031813819e-01,8.747473944822853342e-02,-4.683937230939992924e-01,2.326388657376968483e-01,1.343141117576284738e-01,-4.334038273147078901e-01
6.099999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.508290450336868260e-01,8.708118975181325383e-02,-4.686869590309024058e-01,2.320080076223344223e-01,1.339498856549034833e-01,-4.338544831301771043e-01
6.199999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500179863171511585e-01,8.661292478349279234e-02,-4.690339060684163841e-01,2.312570418954497109e-01,1.335163153903344280e-01,-4.343887361550192727e-01
6.300000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.490911118100350097e-01,8.607779353730428407e-02,-4.694277940631518264e-01,2.303983907902708850e-01,1.330205729436194639e-01,-4.349966766482301073e-01
6.400000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.480654832636482676e-01,8.548564661995933234e-02,-4.698604227724119675e-01,2.294476957344093182e-01,1.324716888972005124e-01,-4.356661641244282124e-01
6.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.469610668150414801e-01,8.484801148605874976e-02,-4.703225061459918588e-01,2.284233144738398447e-01,1.318802621006579245e-01,-4.363833015515683478e-01
6.600000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.458000663826795607e-01,8.417770757390533043e-02,-4.708040507370431782e-01,2.273457200112590226e-01,1.312581126476096427e-01,-4.371329677074810571e-01
6.700000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.446061742547305462e-01,8.348841363245058933e-02,-4.712947476437089889e-01,2.262368190806561818e-01,1.306178883968214799e-01,-4.378993821907287698e-01
6.800000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.434037637159178979e-01,8.279420158419066589e-02,-4.717843582995790430e-01,2.251192115950329531e-01,1.299726374141485508e-01,-4.386666776659027822e-01
6.900000000000000577e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.422170514423761745e-01,8.210905293361071833e-02,-4.722630767965901866e-01,2.240154157974258431e-01,1.293353606132697231e-01,-4.394194556231458826e-01
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410692593712684628e-01,8.144637487238295948e-02,-4.727218548793667430e-01,2.229470864211949566e-01,1.287185603603196449e-01,-4.401433049304135370e-01
7.100000000000000755e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.399818066213393553e-01,8.081853373448039113e-02,-4.731526798191410532e-01,2.219342547397515353e-01,1.281338017163944909e-01,-4.408252663253489079e-01
7.200000000000000844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.389735616579899913e-01,8.023642323348155470e-02,-4.735487995410720963e-01,2.209946197248286448e-01,1.275913031875887671e-01,-4.414542302476794911e-01
7.299999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380601831956214942e-01,7.970908393236109113e-02,-4.739048931533153541e-01,2.201429184853257448e-01,1.270995732476926099e-01,-4.420212595803709177e-01
7.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.372535753324714558e-01,7.924338866544095028e-02,-4.742171880175490295e-01,2.193904016793552514e-01,1.266651074671958366e-01,-4.425198325513726161e-01
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.365614782277217165e-01,7.884380621570832859e-02,-4.744835264639640782e-01,2.187444357467255018e-01,1.262921588621047364e-01,-4.429460039776807467e-01
7.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.359872104435008167e-01,7.851225255590146834e-02,-4.747033861206315097e-01,2.182082487720928832e-01,1.259825911679646193e-01,-4.432984850982709113e-01
7.700000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.355295731331850329e-01,7.824803553159942471e-02,-4.748778577084661334e-01,2.177808308272377591e-01,1.257358213024460381e-01,-4.435786434958263746e-01
7.800000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.351829198519515218e-01,7.804789516636378988e-02,-4.750095833142749524e-01,2.174569930901961157e-01,1.255488534977912685e-01,-4.437904252477294365e-01
7.900000000000000355e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.349373892078034043e-01,7.790613798287057690e-02,-4.751026569683395318e-01,2.172275832758165937e-01,1.254164036797045245e-01,-4.439402017751912788e-01
8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.347792911761512835e-01,7.781486004173787663e-02,-4.751624882361180080e-01,2.170798483237318388e-01,1.253311088653496774e-01,-4.440365442194228462e-01
8.100000000000000533e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346916319683846008e-01,7.776424997453683374e-02,-4.751956288767721914e-01,2.169979292433059925e-01,1.252838128622140446e-01,-4.440899288869574746e-01
8.200000000000000622e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346547571431044310e-01,7.774296028423501037e-02,-4.752095627246735177e-01,2.169634678312768183e-01,1.252639165567023538e-01,-4.441123786109795191e-01
8.300000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346470883996020718e-01,7.773853273310957213e-02,-4.752124599734449117e-01,2.169563009059818914e-01,1.252597787304540744e-01,-4.441170468802010940e-01
8.400000000000000799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346459263588091204e-01,7.773786182854494631e-02,-4.752128989761369993e-01,2.169552149026856558e-01,1.252591517261586462e-01,-4.441177542447189985e-01
8.500000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346282897098139975e-01,7.772767930450001639e-02,-4.752195613395425178e-01,2.169387322088822123e-01,1.252496354384542709e-01,-4.441284896177424835e-01
8.599999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.345717603983878075e-01,7.769504209133100414e-02,-4.752409091584027245e-01,2.168859004481457076e-01,1.252191330071712738e-01,-4.441628923218703395e-01
8.699999999999999956e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.344553050040175890e-01,7.762780653804277065e-02,-4.752848562792305054e-01,2.167770569183875007e-01,1.251562921659658267e-01,-4.442337336640134193e-01
8.800000000000000044e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.342600439780000654e-01,7.751507253210931925e-02,-4.753584480382854194e-01,2.165945423589401009e-01,1.250509173359378723e-01,-4.443524190254417028e-01
8.900000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.339699428369788559e-01,7.734758256024849843e-02,-4.754675655482108465e-01,2.163233409250375217e-01,1.248943391150695859e-01,-4.445285325241114527e-01
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.335724025417490135e-01,7.711806256378382629e-02,-4.756166709711017737e-01,2.159516264466208035e-01,1.246797296608939953e-01,-4.447694459455882598e-01
9.100000000000000311e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.330587299600193285e-01,7.682149356044686017e-02,-4.758086091156494279e-01,2.154711985267178109e-01,1.244023544720117974e-01,-4.450800116914706561e-01
9.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.324244733566469767e-01,7.645530533975453125e-02,-4.760444781127280423e-01,2.148777956320325200e-01,1.240597531510273244e-01,-4.454623559768262075e-01
9.300000000000000488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.316696121543510789e-01,7.601948602140819189e-02,-4.763235780225074101e-01,2.141712759521491871e-01,1.236518438236589301e-01,-4.459157836139441278e-01
9.400000000000000577e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.307985946800090671e-01,7.551660384812797222e-02,-4.766434413405681303e-01,2.133556604296430459e-01,1.231809479821847908e-01,-4.464367998013169525e-01
9.500000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.298202222059632871e-01,7.495174023686991538e-02,-4.769999439642095829e-01,2.124390360213151419e-01,1.226517346332908764e-01,-4.470192478694616223e-01
9.600000000000000755e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.287473822769476806e-01,7.433233581505538368e-02,-4.773874897911667414e-01,2.114333209985546358e-01,1.220710847941720578e-01,-4.476545554651445991e-01
9.700000000000000844e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.275966390396017225e-01,7.366795389720554033e-02,-4.777992572978706498e-01,2.103538979854603919e-01,1.214478796269926053e-01,-4.483320757389884226e-01
9.800000000000000933e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.263876929942274741e-01,7.296996857247299573e-02,-4.782274926707258955e-01,2.092191244824244956e-01,1.207927178395455797e-01,-4.490395052417366917e-01
9.900000000000001021e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.251427271566085409e-01,7.225118721099181573e-02,-4.786638317090699535e-01,2.080497347831793409e-01,1.201175703818988111e-01,-4.497633568246732216e-01
